,Basin,Datetime,Intensity,Latitude,Longitude,Storm Name,Year,pressure
0,pacific,1996-05-13 06:00:00, TD, 11.1N, 113.9W,UNNAMED,1996,1009
1,pacific,1996-05-13 12:00:00, TD, 11.3N, 115.2W,UNNAMED,1996,1008
2,pacific,1996-05-13 18:00:00, TD, 11.6N, 116.3W,UNNAMED,1996,1006
3,pacific,1996-05-14 00:00:00, TS, 11.8N, 117.5W,UNNAMED,1996,1003
4,pacific,1996-05-14 06:00:00, TS, 12.1N, 118.8W,UNNAMED,1996,1000
5,pacific,1996-05-14 12:00:00, TS, 12.4N, 119.9W,UNNAMED,1996,1002
6,pacific,1996-05-14 18:00:00, TS, 12.8N, 121.0W,UNNAMED,1996,1005
7,pacific,1996-05-15 00:00:00, TD, 13.0N, 121.8W,UNNAMED,1996,1006
8,pacific,1996-05-15 06:00:00, TD, 13.2N, 122.6W,UNNAMED,1996,1007
9,pacific,1996-05-15 12:00:00, TD, 13.4N, 123.4W,UNNAMED,1996,1007
10,pacific,1996-05-15 18:00:00, TD, 13.6N, 124.2W,UNNAMED,1996,1008
11,pacific,1996-05-16 00:00:00, TD, 13.8N, 124.9W,UNNAMED,1996,1008
12,pacific,1996-05-16 06:00:00, TD, 14.0N, 125.7W,UNNAMED,1996,1008
13,pacific,1996-05-16 12:00:00, TD, 14.1N, 126.3W,UNNAMED,1996,1009
14,pacific,1996-05-16 18:00:00, TD, 14.2N, 126.7W,UNNAMED,1996,1009
15,pacific,1996-05-15 12:00:00, TD, 12.8N, 108.7W,UNNAMED,1996,-999
16,pacific,1996-05-15 18:00:00, TD, 12.8N, 108.5W,UNNAMED,1996,-999
17,pacific,1996-05-16 00:00:00, TD, 12.9N, 108.3W,UNNAMED,1996,-999
18,pacific,1996-05-16 06:00:00, TD, 13.0N, 108.4W,UNNAMED,1996,-999
19,pacific,1996-05-16 12:00:00, TD, 13.0N, 108.6W,UNNAMED,1996,-999
20,pacific,1996-05-16 18:00:00, TD, 13.1N, 109.0W,UNNAMED,1996,-999
21,pacific,1996-05-17 00:00:00, TD, 13.2N, 109.5W,UNNAMED,1996,-999
22,pacific,1996-05-17 06:00:00, TD, 13.2N, 110.0W,UNNAMED,1996,-999
23,pacific,1996-05-17 12:00:00, TD, 13.1N, 110.4W,UNNAMED,1996,-999
24,pacific,1996-05-17 18:00:00, TD, 13.0N, 111.0W,UNNAMED,1996,-999
25,pacific,1996-05-18 00:00:00, TD, 13.0N, 111.8W,UNNAMED,1996,-999
26,pacific,1996-05-18 06:00:00, TD, 13.1N, 112.5W,UNNAMED,1996,-999
27,pacific,1996-05-18 12:00:00, TD, 13.3N, 113.2W,UNNAMED,1996,-999
28,pacific,1996-05-18 18:00:00, TD, 13.5N, 113.8W,UNNAMED,1996,-999
29,pacific,1996-05-19 00:00:00, TD, 13.6N, 114.4W,UNNAMED,1996,-999
30,pacific,1996-06-20 00:00:00, TD, 13.1N,  98.7W,ALMA,1996,1009
31,pacific,1996-06-20 06:00:00, TD, 13.5N,  99.3W,ALMA,1996,1009
32,pacific,1996-06-20 12:00:00, TD, 13.9N,  99.9W,ALMA,1996,1007
33,pacific,1996-06-20 18:00:00, TS, 14.4N, 100.3W,ALMA,1996,1005
34,pacific,1996-06-21 00:00:00, TS, 14.9N, 100.7W,ALMA,1996,1002
35,pacific,1996-06-21 06:00:00, TS, 15.4N, 101.1W,ALMA,1996,1000
36,pacific,1996-06-21 12:00:00, TS, 15.7N, 101.5W,ALMA,1996,997
37,pacific,1996-06-21 18:00:00, TS, 15.8N, 102.0W,ALMA,1996,994
38,pacific,1996-06-22 00:00:00, HU, 15.8N, 102.4W,ALMA,1996,987
39,pacific,1996-06-22 06:00:00, HU, 15.9N, 102.7W,ALMA,1996,985
40,pacific,1996-06-22 12:00:00, HU, 16.2N, 102.6W,ALMA,1996,978
41,pacific,1996-06-22 18:00:00, HU, 16.6N, 102.6W,ALMA,1996,975
42,pacific,1996-06-23 00:00:00, HU, 16.7N, 102.8W,ALMA,1996,972
43,pacific,1996-06-23 06:00:00, HU, 16.9N, 102.9W,ALMA,1996,970
44,pacific,1996-06-23 12:00:00, HU, 17.2N, 102.8W,ALMA,1996,969
45,pacific,1996-06-23 18:00:00, HU, 17.5N, 102.6W,ALMA,1996,970
46,pacific,1996-06-24 00:00:00, HU, 18.0N, 102.4W,ALMA,1996,973
47,pacific,1996-06-24 06:00:00, HU, 17.8N, 102.6W,ALMA,1996,975
48,pacific,1996-06-24 12:00:00, HU, 17.7N, 102.8W,ALMA,1996,979
49,pacific,1996-06-24 18:00:00, TS, 17.7N, 102.8W,ALMA,1996,985
50,pacific,1996-06-25 00:00:00, TS, 17.6N, 102.7W,ALMA,1996,995
51,pacific,1996-06-25 06:00:00, TS, 17.5N, 102.4W,ALMA,1996,1000
52,pacific,1996-06-25 12:00:00, TS, 17.3N, 102.5W,ALMA,1996,1005
53,pacific,1996-06-25 18:00:00, TD, 17.3N, 102.7W,ALMA,1996,1009
54,pacific,1996-06-26 00:00:00, TD, 17.4N, 102.9W,ALMA,1996,1009
55,pacific,1996-06-26 06:00:00, TD, 17.5N, 103.5W,ALMA,1996,1009
56,pacific,1996-06-26 12:00:00, TD, 17.7N, 104.0W,ALMA,1996,1009
57,pacific,1996-06-26 18:00:00, TD, 18.0N, 104.5W,ALMA,1996,1009
58,pacific,1996-06-27 00:00:00, TD, 18.4N, 105.0W,ALMA,1996,1009
59,pacific,1996-06-27 06:00:00, TD, 18.7N, 105.5W,ALMA,1996,1009
60,pacific,1996-06-27 00:00:00, TD, 12.7N,  94.4W,BORIS,1996,1010
61,pacific,1996-06-27 06:00:00, TD, 12.8N,  95.0W,BORIS,1996,1010
62,pacific,1996-06-27 12:00:00, TD, 12.8N,  95.5W,BORIS,1996,1009
63,pacific,1996-06-27 18:00:00, TD, 12.7N,  96.1W,BORIS,1996,1009
64,pacific,1996-06-28 00:00:00, TD, 13.0N,  96.9W,BORIS,1996,1008
65,pacific,1996-06-28 06:00:00, TD, 13.5N,  97.7W,BORIS,1996,1007
66,pacific,1996-06-28 12:00:00, TS, 14.0N,  98.4W,BORIS,1996,1006
67,pacific,1996-06-28 18:00:00, TS, 14.6N,  99.0W,BORIS,1996,1002
68,pacific,1996-06-29 00:00:00, TS, 15.2N,  99.6W,BORIS,1996,995
69,pacific,1996-06-29 06:00:00, HU, 15.9N, 100.2W,BORIS,1996,987
70,pacific,1996-06-29 12:00:00, HU, 16.6N, 100.8W,BORIS,1996,979
71,pacific,1996-06-29 18:00:00, HU, 17.6N, 101.5W,BORIS,1996,980
72,pacific,1996-06-30 00:00:00, HU, 18.7N, 102.2W,BORIS,1996,990
73,pacific,1996-06-30 06:00:00, TS, 19.5N, 102.9W,BORIS,1996,1000
74,pacific,1996-06-30 12:00:00, TD, 19.8N, 103.7W,BORIS,1996,1004
75,pacific,1996-06-30 18:00:00, TD, 19.5N, 104.5W,BORIS,1996,1005
76,pacific,1996-07-01 00:00:00, TD, 19.0N, 105.1W,BORIS,1996,1006
77,pacific,1996-07-01 06:00:00, TD, 18.8N, 105.4W,BORIS,1996,1007
78,pacific,1996-07-01 12:00:00, TD, 19.0N, 105.6W,BORIS,1996,1007
79,pacific,1996-07-01 12:00:00, TD,  8.9N,  89.2W,CRISTINA,1996,1008
80,pacific,1996-07-01 18:00:00, TD,  9.5N,  90.3W,CRISTINA,1996,1006
81,pacific,1996-07-02 00:00:00, TS, 10.2N,  91.4W,CRISTINA,1996,1005
82,pacific,1996-07-02 06:00:00, TS, 11.0N,  92.5W,CRISTINA,1996,1004
83,pacific,1996-07-02 12:00:00, TS, 12.0N,  93.3W,CRISTINA,1996,1002
84,pacific,1996-07-02 18:00:00, TS, 13.3N,  94.1W,CRISTINA,1996,1000
85,pacific,1996-07-03 00:00:00, TS, 14.5N,  95.0W,CRISTINA,1996,994
86,pacific,1996-07-03 06:00:00, TS, 15.3N,  95.9W,CRISTINA,1996,991
87,pacific,1996-07-03 09:00:00, TS, 15.7N,  96.2W,CRISTINA,1996,991
88,pacific,1996-07-03 12:00:00, TS, 15.9N,  96.8W,CRISTINA,1996,1000
89,pacific,1996-07-03 18:00:00, TD, 16.1N,  97.8W,CRISTINA,1996,1007
90,pacific,1996-07-04 18:00:00, TD, 17.3N, 108.6W,UNNAMED,1996,-999
91,pacific,1996-07-05 00:00:00, TD, 17.5N, 109.0W,UNNAMED,1996,-999
92,pacific,1996-07-05 06:00:00, TD, 17.9N, 109.2W,UNNAMED,1996,-999
93,pacific,1996-07-05 12:00:00, TD, 18.3N, 109.4W,UNNAMED,1996,-999
94,pacific,1996-07-05 18:00:00, TD, 18.6N, 109.6W,UNNAMED,1996,-999
95,pacific,1996-07-06 00:00:00, TD, 19.1N, 109.9W,UNNAMED,1996,-999
96,pacific,1996-07-29 00:00:00, TS, 13.0N,  89.7W,DOUGLAS,1996,1004
97,pacific,1996-07-29 06:00:00, TS, 13.1N,  91.6W,DOUGLAS,1996,1001
98,pacific,1996-07-29 12:00:00, HU, 13.3N,  93.4W,DOUGLAS,1996,987
99,pacific,1996-07-29 18:00:00, HU, 13.4N,  95.2W,DOUGLAS,1996,982
100,pacific,1996-07-30 00:00:00, HU, 13.6N,  96.9W,DOUGLAS,1996,980
101,pacific,1996-07-30 06:00:00, HU, 13.9N,  98.7W,DOUGLAS,1996,977
102,pacific,1996-07-30 12:00:00, HU, 14.3N, 100.4W,DOUGLAS,1996,975
103,pacific,1996-07-30 18:00:00, HU, 14.9N, 102.0W,DOUGLAS,1996,970
